TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
0,,,0.140941734511,,1,1,1
0,,,0.102495751151,,2,1,1
0,,,0.0394375877488,,3,1,1
0,,,0.410054962671,,4,1,1
1,,0.00415198632492,0.13215203953,0.0050553932755,1,1,1
1,,,0.0999482677383,0.0050553932755,2,1,1
1,,,0.042643111311,0.0050553932755,3,1,1
1,,0.124614270282,0.333654389933,0.0050553932755,4,1,1
2,,0.0475190278804,0.123362344549,0.0973906912262,1,1,1
2,,0.134941780177,0.0974007843257,0.0975379864436,2,1,1
2,,0.0375094355184,0.0458486348732,0.097685281661,3,1,1
2,,0.123870410319,0.257253817195,0.0978325768784,4,1,1
3,,0.101258360908,0.114572649569,,1,1,1
3,,0.105377488165,0.0948533009132,,2,1,1
3,,0.093845874617,0.0490541584355,,3,1,1
3,,0.543952508683,0.180853244456,,4,1,1
4,,0.149454054687,0.105782954588,,1,1,1
4,,0.00413724824682,0.0923058175006,,2,1,1
4,,0.0603993533124,0.0522596819977,0.021232149309,3,1,1
4,,0.0813307627102,0.104452671718,0.104452671718,4,1,1
5,,0.170802395691,0.0969932596078,0.135871885355,1,1,1
5,,0.098799224873,0.089758334088,0.115941568767,2,1,1
5,,0.194512146009,0.0554652055599,0.0960112521786,3,1,1
5,,0.0280520989797,0.0280520989797,0.0760809355904,4,1,1
6,,0.0993105274783,0.0882035646272,0.0937058574076,1,1,1
6,,0.0955877591333,0.0872108506755,0.0688121618807,2,1,1
6,,0.0253139743823,0.0586707291222,0.0439184663539,3,1,1
6,,,,0.019024770827,4,1,1
7,,0.0165834879852,0.0794138696466,,1,1,1
7,,0.113059185216,0.0846633672629,,2,1,1
7,,0.0803988993743,0.0618762526844,,3,1,1
7,,,,,4,1,1
8,,0.331044574263,0.0706241746661,,1,1,1
8,,0.0514218801855,0.0821158838504,,2,1,1
8,,0.085207849222,0.0650817762466,,3,1,1
8,,0.0775167627942,,,4,1,1
9,,0.26059171218,0.0618344796855,,1,1,1
9,,0.16353940226,0.0795684004378,,2,1,1
9,,0.210725400419,0.0682872998089,,3,1,1
9,,0.0461629194307,,,4,1,1
10,,0.120049818959,0.053044784705,,1,1,1
