TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
0,,0.24192607195866123,0.05652452578230296,0.04095005990502002,1,1,1
0,,0.3604052783366155,0.051394159089919796,0.04095005990502002,2,1,1
0,,0.039824079770332206,0.09617996700454538,0.04095005990502002,3,1,1
0,,0.054991936823652665,0.08990285525433635,0.04095005990502002,4,1,1
1,,0.11613446815400874,0.054376427516044004,0.056830213282194626,1,1,1
1,,0.0662383347633464,0.052436716084049,0.05634933567624565,2,1,1
1,,0.4307013712188335,0.09679103796412726,0.055868458070296674,3,1,1
1,,0.18597000720980708,0.07131227482586902,0.0553875804643477,4,1,1
2,,0.13952829138781525,0.05222832924978506,,1,1,1
2,,,0.0534792730781782,,2,1,1
2,,0.03787862013486977,0.09740210892370914,,3,1,1
2,,,0.052721694397401694,,4,1,1
3,,0.3352983580361295,0.050080230983526104,0.3776380368077791,1,1,1
3,,,0.0545218300723074,0.26313572919483086,2,1,1
3,,0.12321647868031255,0.09801317988329102,0.14863342158188264,3,1,1
3,,0.08202103143005957,0.03413111396893437,0.03413111396893442,4,1,1
4,,0.07897907314772006,0.04793213271726715,0.07942858573047094,1,1,1
4,,0.0806528967199411,0.055564387066436606,0.056717576982485134,2,1,1
4,,0.0366175362540108,0.0986242508428729,0.034006568234499324,3,1,1
4,,0.015540533540467083,0.015540533540467041,0.011295559486513507,4,1,1
5,,0.0627729127099127,0.045784034451008204,0.02111036831483811,1,1,1
5,,0.08938725673456091,0.05660694406056581,0.05889608766537595,2,1,1
5,,0.09310202123242896,0.09923532180245477,0.09668180701591378,3,1,1
5,,,,0.13446752636645162,4,1,1
6,,0.12075284141492032,0.04363593618474925,,1,1,1
6,,,0.05764950105469501,,2,1,1
6,,0.0484064489367693,0.09984639276203665,,3,1,1
6,,,,,4,1,1
7,,0.15644352458363273,0.0414878379184903,,1,1,1
7,,0.0011910890266311983,0.058692058048824214,,2,1,1
7,,0.46075132967353954,0.10045746372161853,,3,1,1
7,,0.033812629005772886,,,4,1,1
8,,0.20746018310493353,0.03933973965223135,,1,1,1
8,,0.2823303415410449,0.059734615042953416,,2,1,1
8,,0.3596470025229354,0.1010685346812004,,3,1,1
8,,,,,4,1,1
9,,0.21388022158708317,0.037191641385972404,,1,1,1
9,,0.10753437953304268,0.06077717203708262,,2,1,1
9,,0.2731093183466932,0.10167960564078228,,3,1,1
9,,0.09726704825557345,,,4,1,1
10,,0.011250839877488017,0.03504354311971345,,1,1,1
10,,0.37948886371353746,0.06181972903121182,,2,1,1
10,,,0.10229067660036416,,3,1,1
10,,0.08472795014161613,,,4,1,1
11,,0.014211441853088733,0.0328954448534545,0.138453782244151,1,1,1
11,,0.07695651296330336,0.06286228602534102,0.138453782244151,2,1,1
11,,0.1109629100290958,0.10290174755994604,0.138453782244151,3,1,1
11,,0.19947387173303432,,0.138453782244151,4,1,1
12,,0.08991831843131401,0.030747346587195547,,1,1,1
12,,0.12422325172027694,0.06390484301947022,,2,1,1
12,,0.04499347563434564,0.10351281851952791,,3,1,1
12,,,,,4,1,1
13,,0.17019970227675366,0.028599248320936597,,1,1,1
13,,0.09566137239122639,0.06494740001359943,,2,1,1
13,,0.27983373224121316,0.10412388947910979,,3,1,1
13,,0.04122350208978512,,,4,1,1
14,,0.061668094659161836,0.026451150054677644,0.03962470969732526,1,1,1
14,,0.10824562244842295,0.06598995700772864,0.03962470969732526,2,1,1
14,,0.05947938660223765,0.10473496043869167,0.03962470969732526,3,1,1
14,,0.2450653030751994,,0.03962470969732526,4,1,1
15,,0.019432802739643068,0.024303051788418698,0.005831895652175479,1,1,1
15,,0.09095152648055344,0.06703251400185783,0.005831895652175479,2,1,1
15,,0.028656600605552533,0.10534603139827355,0.005831895652175479,3,1,1
15,,0.1955081560280066,,0.005831895652175479,4,1,1
16,,0.10726359736497346,0.022154953522159744,,1,1,1
16,,0.18178441967453995,0.06807507099598703,,2,1,1
16,,0.07359717120934106,0.10595710235785542,,3,1,1
16,,,,,4,1,1
17,,0.1021515947484439,0.02000685525590079,,1,1,1
17,,0.1765071714510603,0.06911762799011624,,2,1,1
17,,0.06341794747796745,0.1065681733174373,,3,1,1
17,,,,,4,1,1
18,,0.056588641404199315,0.017858756989641844,,1,1,1
18,,,0.07016018498424545,,2,1,1
18,,0.18081960383968432,0.10717924427701918,,3,1,1
18,,0.1647182239443279,,,4,1,1
19,,0.2962730621528937,0.01571065872338289,,1,1,1
19,,0.12949524641622237,0.07120274197837465,,2,1,1
19,,0.5575415003462424,0.10779031523660104,,3,1,1
19,,0.41423325723569704,,,4,1,1
20,,0.10121686553929245,0.013562560457123944,,1,1,1
20,,0.135968209096688,0.07224529897250384,,2,1,1
20,,,0.10840138619618292,,3,1,1
20,,,,,4,1,1
21,,0.18513143522293415,0.01141446219086499,,1,1,1
21,,,0.07328785596663305,,2,1,1
21,,,0.1090124571557648,,3,1,1
21,,,,,4,1,1
22,,0.1438243247676347,0.009266363924606037,,1,1,1
22,,0.14645977249707962,0.07433041296076226,,2,1,1
22,,,0.10962352811534667,,3,1,1
22,,,,,4,1,1
23,,,0.007118265658347091,,1,1,1
23,,,0.07537296995489146,,2,1,1
23,,,0.11023459907492855,,3,1,1
23,0.04791996666717066,,,,4,1,1
24,,,0.004970167392088137,,1,1,1
24,,,0.07641552694902065,,2,1,1
