DownClass,FavScoreDiffClass,yrdline100Class,TimeSecsClass,counts
1,1,1,0,0.5
2,1,1,0,0.5
3,1,1,0,0.3333333333333333
4,1,1,0,0.5
1,1,1,1,0.3333333333333333
2,1,1,1,0.3333333333333333
3,1,1,1,0.5
4,1,1,1,0.5
1,1,1,2,0.5
2,1,1,2,0.5
3,1,1,2,0.5
4,1,1,2,0.5
1,1,1,3,0.5
2,1,1,3,0.5
3,1,1,3,0.25
4,1,1,3,0.3333333333333333
1,1,1,4,0.3333333333333333
2,1,1,4,0.25
3,1,1,4,0.3333333333333333
4,1,1,4,0.3333333333333333
1,1,1,5,0.25
2,1,1,5,0.25
3,1,1,5,0.3333333333333333
4,1,1,5,0.5
1,1,1,6,0.5
2,1,1,6,0.5
3,1,1,6,0.5
4,1,1,6,0.5
1,1,1,7,0.5
2,1,1,7,0.5
3,1,1,7,0.5
4,1,1,7,0.5
1,1,1,8,0.5
2,1,1,8,0.5
3,1,1,8,0.5
4,1,1,8,0.5
1,1,1,9,0.5
2,1,1,9,0.5
3,1,1,9,0.5
4,1,1,9,0.5
1,1,1,10,0.5
2,1,1,10,0.5
3,1,1,10,0.5
4,1,1,10,0.5
1,1,1,11,0.5
2,1,1,11,0.5
3,1,1,11,0.3333333333333333
4,1,1,11,0.5
1,1,1,12,0.5
2,1,1,12,0.5
3,1,1,12,0.5
4,1,1,12,0.5
1,1,1,13,0.5
2,1,1,13,0.5
3,1,1,13,0.5
4,1,1,13,0.5
1,1,1,14,0.25
2,1,1,14,0.5
3,1,1,14,0.5
4,1,1,14,0.5
1,1,1,15,0.3333333333333333
2,1,1,15,0.5
3,1,1,15,0.5
4,1,1,15,0.5
1,1,1,16,0.5
2,1,1,16,0.5
3,1,1,16,0.5
4,1,1,16,0.5
1,1,1,17,0.5
2,1,1,17,0.5
3,1,1,17,0.5
4,1,1,17,0.5
1,1,1,18,0.5
2,1,1,18,0.5
3,1,1,18,0.5
4,1,1,18,0.5
1,1,1,19,0.5
2,1,1,19,0.5
3,1,1,19,0.5
4,1,1,19,0.5
1,1,1,20,0.5
2,1,1,20,0.5
3,1,1,20,0.5
4,1,1,20,0.5
1,1,1,21,0.5
2,1,1,21,0.5
3,1,1,21,0.5
4,1,1,21,0.5
1,1,1,22,0.5
2,1,1,22,0.5
3,1,1,22,0.5
4,1,1,22,0.5
1,1,1,23,0.5
2,1,1,23,0.5
3,1,1,23,0.5
4,1,1,23,0.5
1,1,1,24,0.5
2,1,1,24,0.5
3,1,1,24,0.5
4,1,1,24,0.5
1,1,1,25,0.5
2,1,1,25,0.5
3,1,1,25,0.5
4,1,1,25,0.5
1,1,1,26,0.5
2,1,1,26,0.5
3,1,1,26,0.5
4,1,1,26,0.5
1,1,1,27,0.5
2,1,1,27,0.5
3,1,1,27,0.5
4,1,1,27,0.5
1,1,1,28,0.5
2,1,1,28,0.5
3,1,1,28,0.5
4,1,1,28,0.5
1,1,1,29,0.5
2,1,1,29,0.5
3,1,1,29,0.5
4,1,1,29,0.5
1,1,1,30,0.5
2,1,1,30,0.5
3,1,1,30,0.5
4,1,1,30,0.5
1,1,1,31,0.5
2,1,1,31,0.5
3,1,1,31,0.3333333333333333
4,1,1,31,0.5
1,1,1,32,0.5
2,1,1,32,0.5
3,1,1,32,0.5
4,1,1,32,0.5
1,1,1,33,0.5
2,1,1,33,0.5
3,1,1,33,0.5
4,1,1,33,0.5
1,1,1,34,0.5
2,1,1,34,0.5
3,1,1,34,0.5
4,1,1,34,0.5
1,1,1,35,0.5
2,1,1,35,0.5
3,1,1,35,0.5
4,1,1,35,0.5
1,1,1,36,0.5
2,1,1,36,0.5
3,1,1,36,0.5
4,1,1,36,0.5
1,1,1,37,0.5
2,1,1,37,0.5
3,1,1,37,0.5
4,1,1,37,0.5
1,1,1,38,0.5
2,1,1,38,0.5
3,1,1,38,0.5
4,1,1,38,0.5
1,1,1,39,0.5
2,1,1,39,0.5
3,1,1,39,0.5
4,1,1,39,0.5
1,1,1,40,0.5
2,1,1,40,0.5
3,1,1,40,0.5
4,1,1,40,0.5
1,1,1,41,0.5
2,1,1,41,0.5
3,1,1,41,0.5
4,1,1,41,0.5
1,1,1,42,0.5
2,1,1,42,0.5
3,1,1,42,0.5
4,1,1,42,0.5
1,1,1,43,0.5
2,1,1,43,0.5
3,1,1,43,0.5
4,1,1,43,0.5
1,1,1,44,0.5
2,1,1,44,0.5
3,1,1,44,0.5
4,1,1,44,0.5
1,1,1,45,0.5
2,1,1,45,0.5
3,1,1,45,0.5
4,1,1,45,0.5
1,1,1,46,0.5
2,1,1,46,0.5
3,1,1,46,0.5
4,1,1,46,0.5
1,1,1,47,0.5
2,1,1,47,0.5
3,1,1,47,0.5
4,1,1,47,0.5
1,1,1,48,0.5
2,1,1,48,0.5
3,1,1,48,0.5
4,1,1,48,0.5
1,1,1,49,0.5
2,1,1,49,0.5
3,1,1,49,0.5
4,1,1,49,0.5
1,1,1,50,0.5
2,1,1,50,0.5
3,1,1,50,0.5
4,1,1,50,0.5
1,1,1,51,0.5
2,1,1,51,0.5
3,1,1,51,0.5
4,1,1,51,0.5
1,1,1,52,0.5
2,1,1,52,0.5
3,1,1,52,0.5
4,1,1,52,0.5
1,1,1,53,0.5
2,1,1,53,0.5
3,1,1,53,0.5
4,1,1,53,0.5
1,1,1,54,0.5
2,1,1,54,0.5
3,1,1,54,0.5
4,1,1,54,0.5
1,1,1,55,0.5
2,1,1,55,0.5
3,1,1,55,0.5
4,1,1,55,0.5
1,1,1,56,0.5
2,1,1,56,0.5
3,1,1,56,0.5
4,1,1,56,0.5
1,1,1,57,0.5
2,1,1,57,0.5
3,1,1,57,0.5
4,1,1,57,0.5
1,1,1,58,0.5
2,1,1,58,0.5
3,1,1,58,0.5
4,1,1,58,0.5
1,1,1,59,0.5
2,1,1,59,0.5
3,1,1,59,0.5
4,1,1,59,0.5
1,1,1,60,0.5
2,1,1,60,0.5
3,1,1,60,0.5
4,1,1,60,0.5
1,1,2,0,0.5
2,1,2,0,0.5
3,1,2,0,0.5
4,1,2,0,0.5
1,1,2,1,0.5
2,1,2,1,0.5
3,1,2,1,0.5
4,1,2,1,0.3333333333333333
1,1,2,2,0.3333333333333333
2,1,2,2,0.3333333333333333
3,1,2,2,0.3333333333333333
4,1,2,2,0.5
1,1,2,3,0.5
2,1,2,3,0.5
3,1,2,3,0.3333333333333333
4,1,2,3,0.3333333333333333
1,1,2,4,0.3333333333333333
2,1,2,4,0.5
3,1,2,4,0.5
4,1,2,4,0.5
1,1,2,5,0.3333333333333333
2,1,2,5,0.3333333333333333
3,1,2,5,0.5
4,1,2,5,0.5
1,1,2,6,0.3333333333333333
2,1,2,6,0.3333333333333333
3,1,2,6,0.5
4,1,2,6,0.5
1,1,2,7,0.5
2,1,2,7,0.5
3,1,2,7,0.5
4,1,2,7,0.5
1,1,2,8,0.5
2,1,2,8,0.5
3,1,2,8,0.5
4,1,2,8,0.5
1,1,2,9,0.5
2,1,2,9,0.5
3,1,2,9,0.5
4,1,2,9,0.5
1,1,2,10,0.5
2,1,2,10,0.5
3,1,2,10,0.5
4,1,2,10,0.5
1,1,2,11,0.5
2,1,2,11,0.5
3,1,2,11,0.3333333333333333
4,1,2,11,0.5
