Date & Time,Favorite,Spread,Underdog
11/20 8:25 ET,Kansas City,-7.5,At Oakland
11/23 1:00 ET,At Atlanta,-2.5,Cleveland
11/23 1:00 ET,At Philadelphia,-11.5,Tennessee
11/23 1:00 ET,At New England,-7,Detroit
11/23 1:00 ET,Green Bay,-8,At Minnesota
11/23 1:00 ET,At Indianapolis,-13.5,Jacksonville
11/23 1:00 ET,At Houston,-2.5,Cincinnati
11/23 1:00 ET PPD to MNF,At Buffalo,PPD,NY Jets
11/23 1:00 ET,At Chicago,-4.5,Tampa Bay
11/23 4:05 ET,At Seattle,-7.5,Arizona
11/23 4:05 ET,At San Diego,-5,St. Louis
11/23 4:25 ET,At Denver,-6.5,Miami
11/23 4:25 ET,At San Francisco,-9.5,Washington
11/23 8:30 ET,Dallas,-4.5,At NY Giants
