qtr,lefttime,score,yrdln,cover,eid,season,week,team,prob
1,3600.0,0,35.0,1.0,2014090400,2014,1,SEA,0.49723367469
1,3596.0,0,87.0,1.0,2014090400,2014,1,SEA,0.535303023584
1,3570.0,0,81.0,1.0,2014090400,2014,1,SEA,0.529040071595
1,3551.0,0,76.0,1.0,2014090400,2014,1,SEA,0.524003862395
1,3512.0,0,61.0,1.0,2014090400,2014,1,SEA,0.510154954415
1,3486.0,0,59.0,1.0,2014090400,2014,1,SEA,0.506821767791
1,3450.0,0,61.0,1.0,2014090400,2014,1,SEA,0.505728576392
1,3417.0,0,61.0,1.0,2014090400,2014,1,SEA,0.503372190596
1,3413.0,0,35.0,1.0,2014090400,2014,1,SEA,0.483885246035
1,3380.0,0,39.0,1.0,2014090400,2014,1,SEA,0.484482974593
1,3344.0,0,44.0,1.0,2014090400,2014,1,SEA,0.485604789913
1,3310.0,0,48.0,1.0,2014090400,2014,1,SEA,0.486131284559
1,3270.0,0,56.0,1.0,2014090400,2014,1,SEA,0.489182772554
1,3231.0,0,56.0,1.0,2014090400,2014,1,SEA,0.486399384897
1,3224.0,0,56.0,1.0,2014090400,2014,1,SEA,0.485899886774
1,3217.0,0,61.0,1.0,2014090400,2014,1,SEA,0.489091637508
1,3178.0,0,74.0,1.0,2014090400,2014,1,SEA,0.495908408339
1,3147.0,0,74.0,1.0,2014090400,2014,1,SEA,0.493694889258
1,3106.0,0,79.0,1.0,2014090400,2014,1,SEA,0.494460543719
1,3067.0,3,83.0,1.0,2014090400,2014,1,SEA,0.529289460207
1,3067.0,3,83.0,1.0,2014090400,2014,1,SEA,0.529289460207
1,3063.0,3,80.0,1.0,2014090400,2014,1,SEA,0.526795503841
1,3063.0,3,35.0,1.0,2014090400,2014,1,SEA,0.493578786192
1,3043.0,3,69.0,1.0,2014090400,2014,1,SEA,0.517260096166
1,2995.0,3,74.0,1.0,2014090400,2014,1,SEA,0.517525654735
1,2991.0,3,74.0,1.0,2014090400,2014,1,SEA,0.517240353289
1,2984.0,3,74.0,1.0,2014090400,2014,1,SEA,0.516741048823
1,2972.0,3,34.0,1.0,2014090400,2014,1,SEA,0.486344638967
1,2935.0,3,34.0,1.0,2014090400,2014,1,SEA,0.483704783258
1,2899.0,3,32.0,1.0,2014090400,2014,1,SEA,0.479661961511
1,2859.0,3,24.0,1.0,2014090400,2014,1,SEA,0.470917305667
1,2827.0,3,8.0,1.0,2014090400,2014,1,SEA,0.456886943953
1,2790.0,3,8.0,1.0,2014090400,2014,1,SEA,0.454265575598
1,2790.0,3,2.0,1.0,2014090400,2014,1,SEA,0.449873966238
1,2785.0,3,20.0,1.0,2014090400,2014,1,SEA,0.462714409397
1,2785.0,3,65.0,1.0,2014090400,2014,1,SEA,0.495887924447
1,2785.0,3,2.0,1.0,2014090400,2014,1,SEA,0.449520521824
1,2759.0,3,10.0,1.0,2014090400,2014,1,SEA,0.453535529133
1,2720.0,3,20.0,1.0,2014090400,2014,1,SEA,0.458101788319
1,2700.0,3,20.0,1.0,2014090400,2014,1,SEA,0.456683926845
2,2700.0,3,29.0,1.0,2014090400,2014,1,SEA,0.463289802386
2,2662.0,3,36.0,1.0,2014090400,2014,1,SEA,0.465734871368
2,2619.0,3,34.0,1.0,2014090400,2014,1,SEA,0.461211017712
2,2588.0,9,67.0,1.0,2014090400,2014,1,SEA,0.552488803004
