drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
20,3062,0,08:04,"J.Brown kicks 65 yards from NYG 35 to end zone, Touchback.",0,4,0,NYG 35,0,NYG,KICKOFF
20,3120,3,07:21,(7:21) (Shotgun) T.Pryor sacked at OAK 15 for -9 yards (A.Rolle).,6,4,-5,OAK 24,0,OAK,
20,3099,2,07:59,"(7:59) (Shotgun) R.Jennings right guard to OAK 24 for 4 yards (S.Paysinger, L.Joseph).",10,4,4,OAK 20,0,OAK,
20,3139,4,06:44,"(6:44) M.King punts 37 yards to NYG 48, Center-J.Condo. R.Randle to OAK 44 for 8 yards (J.Condo).",15,4,-5,OAK 15,0,OAK,PUNT
20,3077,1,08:04,(8:04) T.Pryor pass incomplete short left to D.Moore (J.Williams).,10,4,0,OAK 20,0,OAK,
21,3185,2,05:53,(5:53) E.Manning pass short right to H.Nicks pushed ob at OAK 41 for 6 yards (M.Jenkins).,13,4,3,OAK 47,0,NYG,
21,3164,1,06:29,"(6:29) A.Brown right guard to OAK 47 for -3 yards (V.Walker, S.McGee).",10,4,-3,OAK 44,0,NYG,
21,3231,4,05:04,"(5:04) S.Weatherford punts 7 yards to OAK 34, Center-Z.DeOssie. J.Crawford to OAK 33 for -1 yards (Z.DeOssie). Ball deflected by OAK #95 - K.Burnett",7,4,3,OAK 41,0,NYG,PUNT
21,3209,3,05:12,(5:12) (Shotgun) E.Manning pass incomplete short right to A.Brown [B.Ross].,7,4,3,OAK 41,0,NYG,
22,3357,3,03:28,"(3:28) (Shotgun) T.Pryor sacked at OAK 40 for -6 yards (M.Kiwanuka). FUMBLES (M.Kiwanuka), RECOVERED by NYG-C.Jenkins at OAK 45. C.Jenkins to OAK 45 for no gain (K.Barnes).",10,4,12,OAK 46,0,OAK,FUMBLE
22,3290,2,04:21,(4:21) (Shotgun) T.Pryor pass short left to D.Moore pushed ob at OAK 46 for 15 yards (A.Rolle).,12,4,13,OAK 31,0,OAK,
22,3314,1,04:09,"(4:09) (Shotgun) R.Jennings up the middle to OAK 46 for no gain (C.Jenkins, M.Kiwanuka).",10,4,13,OAK 46,0,OAK,
22,3335,2,03:33,(3:33) (Shotgun) T.Pryor pass incomplete short right to R.Jennings (J.Tuck).,10,4,13,OAK 46,0,OAK,
22,3271,1,04:55,(4:55) T.Pryor sacked at OAK 31 for -2 yards (K.Rivers).,10,4,-2,OAK 33,0,OAK,
23,3386,1,03:21,"(3:21) A.Brown left tackle to OAK 42 for 3 yards (L.Houston, S.McGee).",10,4,3,OAK 45,0,NYG,
23,3580,2,01:22,(1:22) E.Manning kneels to OAK 26 for -1 yards.,11,4,19,OAK 25,0,NYG,
23,3601,3,00:41,(:41) E.Manning kneels to OAK 27 for -1 yards.,12,4,18,OAK 26,0,NYG,
23,3462,1,03:04,"(3:04) A.Brown right guard to OAK 33 for 1 yard (P.Sims, S.McGee).",10,4,12,OAK 34,0,NYG,
23,3542,0,02:00,Two-Minute Warning,0,4,21,,0,,
23,3445,0,03:04,Timeout #2 by OAK at 03:04.,0,4,11,,0,,TIMEOUT
23,3483,0,02:58,Timeout #3 by OAK at 02:58.,0,4,12,,0,,TIMEOUT
23,3622,0,,END GAME,0,4,18,,0,,
23,3559,1,02:00,(2:00) E.Manning kneels to OAK 25 for -1 yards.,10,4,20,OAK 24,0,NYG,
23,3424,2,03:12,(3:12) A.Brown right guard to OAK 34 for 8 yards (B.Ross).,7,4,11,OAK 42,0,NYG,
23,3500,2,02:58,(2:58) A.Brown left tackle to OAK 29 for 4 yards (U.Young).,9,4,16,OAK 33,0,NYG,
23,3407,0,03:12,Timeout #1 by OAK at 03:12.,0,4,3,,0,,TIMEOUT
23,3521,3,02:18,(2:18) A.Brown right guard to OAK 24 for 5 yards (C.Woodson).,5,4,21,OAK 29,0,NYG,
1,35,0,15:00,"S.Janikowski kicks 61 yards from OAK 35 to NYG 4. J.Jernigan to NYG 23 for 19 yards (T.Jones). FUMBLES (T.Jones), RECOVERED by OAK-A.Holmes at NYG 27. A.Holmes pushed ob at NYG 5 for 22 yards (D.Moore).",0,1,0,OAK 35,0,OAK,FUMBLE
