drive,play,down,time,desc,ydstogo,qtr,ydsnet,yrdln,sp,posteam,note
1,361,0,08:56,"P.Murray extra point is GOOD, Center-A.DePaola, Holder-M.Koenen.",0,1,77,STL 2,1,TB,
1,320,2,09:42,(9:42) J.McCown pass short right to J.Lane to STL 5 for 3 yards (J.Dunbar).,8,1,72,STL 8,0,TB,
1,36,0,15:00,G.Zuerlein kicks 64 yards from STL 35 to TB 1. S.Patton to TB 23 for 22 yards (R.Armstrong).,0,1,0,STL 35,0,STL,
1,114,1,14:06,(14:06) B.Rainey up the middle to STL 40 for 4 yards (A.Ogletree).,10,1,37,STL 44,0,TB,
1,251,2,11:36,"(11:36) (Shotgun) J.McCown pass short right to R.Herron to STL 14 for 8 yards (J.Laurinaitis, A.Ogletree).",12,1,63,STL 22,0,TB,
1,299,1,10:17,"(10:17) M.James right guard to STL 8 for 1 yard (A.Carrington, E.Sims).",9,1,69,STL 9,0,TB,
1,177,2,13:23,(13:23) B.Rainey right tackle to STL 35 for no gain (A.Ogletree).,1,1,42,STL 35,0,TB,
1,344,3,09:03,"(9:03) (Shotgun) J.McCown scrambles up the middle for 5 yards, TOUCHDOWN.",5,1,77,STL 5,1,TB,
1,135,2,13:36,"(13:36) (No Huddle) J.McCown sacked at STL 45 for -5 yards (W.Hayes). FUMBLES (W.Hayes), RECOVERED by STL-J.Laurinaitis at STL 34. J.Laurinaitis for 66 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on STL-M.Brockers, Defensive Offside, 5 yards, enforced at STL 40 - No Play.",6,1,42,STL 40,0,TB,
1,82,2,14:33,"(14:33) B.Rainey right end to STL 44 for 24 yards (T.McDonald). Penalty on STL, Defensive Offside, declined.",1,1,33,TB 32,0,TB,
1,58,1,14:54,(14:54) J.McCown pass short right to B.Myers to TB 32 for 9 yards (A.Ogletree).,10,1,9,TB 23,0,TB,
1,198,3,12:42,"(12:42) B.Rainey right tackle to STL 35 for no gain (E.Sims). PENALTY on STL-E.Sims, Horse Collar Tackle, 15 yards, enforced at STL 35 - No Play.",1,1,57,STL 35,0,TB,
1,230,1,12:13,(12:13) B.Rainey left guard to STL 22 for -2 yards (E.Gaines).,10,1,55,STL 20,0,TB,
1,275,3,10:53,(10:53) (Shotgun) J.McCown pass short middle to M.Evans to STL 9 for 5 yards (J.Jenkins).,4,1,68,STL 14,0,TB,
6,1252,1,06:54,(6:54) B.Cunningham right tackle to STL 25 for -3 yards (A.Verner).,10,2,-3,STL 28,0,STL,
6,1273,2,06:16,(6:16) (Shotgun) A.Davis pass incomplete short left to T.Austin (M.Barron).,13,2,-3,STL 25,0,STL,
6,1325,3,06:03,"(6:03) (Shotgun) B.Cunningham up the middle to STL 36 for 11 yards (A.Verner, L.David).",13,2,8,STL 25,0,STL,
6,1346,4,06:03,"(6:03) (Punt formation) J.Hekker punts 45 yards to TB 19, Center-J.McQuaide. S.Patton MUFFS catch, touched at TB 19, and recovers at TB 19. S.Patton to TB 19 for no gain (B.McGee).",2,2,8,STL 36,0,STL,
12,2485,4,02:46,"(2:46) (Field Goal formation) G.Zuerlein 35 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker.",5,3,68,TB 17,1,STL,
12,2343,1,04:52,(4:52) A.Davis pass incomplete deep right to C.Givens.,10,3,46,TB 39,0,STL,
12,2411,1,04:02,(4:02) Z.Stacy up the middle to TB 19 for 3 yards (D.Fletcher).,10,3,66,TB 22,0,STL,
12,2277,1,06:44,"(6:44) Z.Stacy left guard to TB 46 for 6 yards (M.Barron, D.Goldson).",10,3,39,STL 48,0,STL,
12,2432,2,03:28,(3:28) A.Davis pass short left to C.Harkey to TB 17 for 2 yards (D.Goldson).,7,3,68,TB 19,0,STL,
12,2319,3,05:22,(5:22) (Shotgun) A.Davis pass short left to A.Pettis pushed ob at TB 39 for 6 yards (J.Banks).,3,3,46,TB 45,0,STL,
12,2365,2,04:45,(4:45) (Shotgun) A.Davis pass incomplete short left to B.Cunningham.,10,3,46,TB 39,0,STL,
12,2169,2,08:31,"(8:31) (Shotgun) PENALTY on TB-A.Spence, Neutral Zone Infraction, 5 yards, enforced at STL 5 - No Play.",20,3,-5,STL 5,0,STL,
12,2387,3,04:39,(4:39) (Shotgun) A.Davis pass deep right to K.Britt to TB 22 for 17 yards (A.Verner).,10,3,63,TB 39,0,STL,
12,2456,3,02:52,(2:52) (Shotgun) A.Davis pass incomplete short middle to A.Pettis (L.Johnson).,5,3,68,TB 17,0,STL,
12,2251,2,07:18,(7:18) Z.Stacy left end pushed ob at STL 48 for 12 yards (D.Goldson).,6,3,33,STL 36,0,STL,
12,2150,1,09:12,(9:12) A.Davis sacked at STL 5 for -10 yards (C.McDonald).,10,3,-10,STL 15,0,STL,
12,2227,1,07:55,(7:55) A.Davis pass short right to B.Quick to STL 36 for 4 yards (A.Verner).,10,3,21,STL 32,0,STL,
12,2128,0,09:18,M.Koenen kicks 64 yards from TB 35 to STL 1. C.Givens to STL 15 for 14 yards (D.Lansanah).,0,3,0,TB 35,0,TB,
12,2192,2,08:19,"(8:19) (Shotgun) A.Davis pass deep left to J.Cook to STL 32 for 22 yards (D.Goldson). Penalty on TB-D.Goldson, Illegal Contact, declined.",15,3,17,STL 10,0,STL,
12,2298,2,06:03,(6:03) B.Cunningham up the middle to TB 45 for 1 yard (L.David).,4,3,40,TB 46,0,STL,
8,1647,4,00:43,"(:43) (Field Goal formation) G.Zuerlein 36 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker.",11,2,10,TB 18,1,STL,
8,1498,2,02:49,"(2:49) Z.Stacy left guard to TB 17 for 7 yards (D.Goldson, J.Banks).",6,2,11,TB 24,0,STL,
8,1598,3,01:30,"(1:30) A.Davis Aborted. S.Wells FUMBLES at TB 18, recovered by STL-A.Davis at TB 18. A.Davis to TB 18 for no gain (L.David).",5,2,10,TB 12,0,STL,
8,1560,2,02:00,(2:00) B.Cunningham up the middle to TB 12 for no gain (L.David).,5,2,16,TB 12,0,STL,
8,1624,0,00:43,Timeout #2 by STL at 00:43.,0,2,10,,0,,
8,1477,1,03:19,(3:19) Z.Stacy up the middle to TB 24 for 4 yards (W.Gholston).,10,2,4,TB 28,0,STL,
8,1581,0,01:30,Timeout #1 by STL at 01:30.,0,2,16,,0,,
8,1519,1,02:10,(2:10) A.Davis pass short left to B.Quick to TB 12 for 5 yards (J.Banks).,10,2,16,TB 17,0,STL,
15,3128,3,06:03,(6:03) M.James left tackle to STL 18 for -2 yards (E.Sims).,2,4,64,STL 16,0,TB,
