drive,fds,result,penyds,ydsgained,numplays,postime
9,4,Touchdown,21,44,9,2:07
17,1,Interception,0,31,2,0:38
4,0,Punt,0,5,5,1:02
5,4,Field Goal,-10,51,16,7:38
15,2,Punt,10,25,12,4:02
6,1,Punt,0,23,7,3:18
16,2,Punt,-10,48,11,4:10
19,3,End of Game,-14,60,14,1:55
13,5,Field Goal,0,68,17,9:44
1,2,Punt,0,33,10,3:53
18,3,Field Goal,-5,39,15,5:53
8,1,Punt,-5,15,6,2:56
11,3,Field Goal,0,51,9,1:14
2,0,Punt,0,-1,4,1:44
10,0,Punt,0,8,5,0:22
12,0,End of Half,0,-1,3,0:05
14,1,Punt,0,40,7,3:38
3,2,Field Goal,0,51,10,2:58
7,1,Punt,0,35,7,2:43
