eid,season,week,Home,Away,HomeScore,AwayScore,Day,Time
2013090500,2013.0,1.0,DEN,BAL,49,27,Thu,8:30
2013090800,2013.0,1.0,BUF,NE,21,23,Sun,1:00
2013090801,2013.0,1.0,CAR,SEA,7,12,Sun,1:00
2013090802,2013.0,1.0,CHI,CIN,24,21,Sun,1:00
2013090803,2013.0,1.0,CLE,MIA,10,23,Sun,1:00
2013090804,2013.0,1.0,DET,MIN,34,24,Sun,1:00
2013090805,2013.0,1.0,IND,OAK,21,17,Sun,1:00
2013090806,2013.0,1.0,JAC,KC,2,28,Sun,1:00
2013090807,2013.0,1.0,NYJ,TB,18,17,Sun,1:00
2013090808,2013.0,1.0,NO,ATL,23,17,Sun,1:00
2013090809,2013.0,1.0,PIT,TEN,9,16,Sun,1:00
2013090810,2013.0,1.0,STL,ARI,27,24,Sun,4:25
2013090811,2013.0,1.0,SF,GB,34,28,Sun,4:25
2013090812,2013.0,1.0,DAL,NYG,36,31,Sun,8:30
2013090900,2013.0,1.0,WAS,PHI,27,33,Mon,7:10
2013090901,2013.0,1.0,SD,HOU,28,31,Mon,10:20
2013091200,2013.0,2.0,NE,NYJ,13,10,Thu,8:25
2013091500,2013.0,2.0,ATL,STL,31,24,Sun,1:00
2013091501,2013.0,2.0,BAL,CLE,14,6,Sun,1:00
2013091502,2013.0,2.0,BUF,CAR,24,23,Sun,1:00
2013091503,2013.0,2.0,CHI,MIN,31,30,Sun,1:00
2013091504,2013.0,2.0,GB,WAS,38,20,Sun,1:00
2013091505,2013.0,2.0,HOU,TEN,30,24,Sun,1:00
2013091506,2013.0,2.0,IND,MIA,20,24,Sun,1:00
2013091507,2013.0,2.0,KC,DAL,17,16,Sun,1:00
2013091508,2013.0,2.0,PHI,SD,30,33,Sun,1:00
2013091509,2013.0,2.0,ARI,DET,25,21,Sun,4:05
2013091510,2013.0,2.0,TB,NO,14,16,Sun,4:05
2013091511,2013.0,2.0,NYG,DEN,23,41,Sun,4:25
2013091512,2013.0,2.0,OAK,JAC,19,9,Sun,4:25
2013091513,2013.0,2.0,SEA,SF,29,3,Sun,8:30
2013091600,2013.0,2.0,CIN,PIT,20,10,Mon,8:40
2013091900,2013.0,3.0,PHI,KC,16,26,Thu,8:25
2013092200,2013.0,3.0,BAL,HOU,30,9,Sun,1:00
2013092201,2013.0,3.0,CIN,GB,34,30,Sun,1:00
2013092202,2013.0,3.0,DAL,STL,31,7,Sun,1:00
2013092204,2013.0,3.0,MIN,CLE,27,31,Sun,1:00
2013092206,2013.0,3.0,NE,TB,23,3,Sun,1:00
