eid,season,week,Home,Away,HomeScore,AwayScore,Day,Time,Favorite,Underdog,Spread
2014090400,2014,1,SEA,GB,36,16,Thu,8:30,SEA,GB,-5
2014090700,2014,1,ATL,NO,37,34,Sun,1:00,NO,ATL,-3
2014090701,2014,1,BAL,CIN,16,23,Sun,1:00,BAL,CIN,-1
2014090702,2014,1,CHI,BUF,20,23,Sun,1:00,CHI,BUF,-7
2014090703,2014,1,HOU,WAS,17,6,Sun,1:00,HOU,WAS,-3
2014090704,2014,1,KC,TEN,10,26,Sun,1:00,KC,TEN,-3
2014090705,2014,1,MIA,NE,33,20,Sun,1:00,NE,MIA,-4
2014090706,2014,1,NYJ,OAK,19,14,Sun,1:00,NYJ,OAK,-6.5
2014090707,2014,1,PHI,JAC,34,17,Sun,1:00,PHI,JAC,-10
2014090708,2014,1,PIT,CLE,30,27,Sun,1:00,PIT,CLE,-6
2014090709,2014,1,STL,MIN,6,34,Sun,1:00,STL,MIN,-3
2014090710,2014,1,DAL,SF,17,28,Sun,4:25,SF,DAL,-3.5
2014090711,2014,1,TB,CAR,14,20,Sun,4:25,TB,CAR,-4.5
2014090712,2014,1,DEN,IND,31,24,Sun,8:30,DEN,IND,-8.5
2014090800,2014,1,DET,NYG,35,14,Mon,7:10,DET,NYG,-6.5
2014090801,2014,1,ARI,SD,18,17,Mon,10:20,ARI,SD,-3
2014091100,2014,2,BAL,PIT,26,6,Thu,8:25,BAL,PIT,-2.5
2014091400,2014,2,BUF,MIA,29,10,Sun,1:00,BUF,MIA,-1
2014091401,2014,2,CAR,DET,24,7,Sun,1:00,CAR,DET,-1.5
2014091402,2014,2,CIN,ATL,24,10,Sun,1:00,CIN,ATL,-5.5
2014091403,2014,2,CLE,NO,26,24,Sun,1:00,NO,CLE,-6
2014091404,2014,2,MIN,NE,7,30,Sun,1:00,NE,MIN,-3
2014091405,2014,2,NYG,ARI,14,25,Sun,1:00,NYG,ARI,-2
2014091406,2014,2,TEN,DAL,10,26,Sun,1:00,TEN,DAL,-3.5
2014091407,2014,2,WAS,JAC,41,10,Sun,1:00,WAS,JAC,-5
2014091408,2014,2,SD,SEA,30,21,Sun,4:05,SEA,SD,-5
2014091409,2014,2,TB,STL,17,19,Sun,4:05,TB,STL,-4.5
2014091410,2014,2,DEN,KC,24,17,Sun,4:25,DEN,KC,-13
2014091411,2014,2,GB,NYJ,31,24,Sun,4:25,GB,NYJ,-7.5
2014091412,2014,2,OAK,HOU,14,30,Sun,4:25,HOU,OAK,-3
2014091413,2014,2,SF,CHI,20,28,Sun,8:30,SF,CHI,-7
2014091500,2014,2,IND,PHI,27,30,Mon,8:30,IND,PHI,-3
2014091800,2014,3,ATL,TB,56,14,Thu,8:25,ATL,TB,-6.5
2014092100,2014,3,BUF,SD,10,22,Sun,1:00,BUF,SD,-2.5
2014092101,2014,3,CIN,TEN,33,7,Sun,1:00,CIN,TEN,-6.5
2014092102,2014,3,CLE,BAL,21,23,Sun,1:00,BAL,CLE,-1.5
2014092103,2014,3,DET,GB,19,7,Sun,1:00,DET,GB,-1.5
2014092104,2014,3,JAC,IND,17,44,Sun,1:00,IND,JAC,-6.5
2014092105,2014,3,NE,OAK,16,9,Sun,1:00,NE,OAK,-14
2014092106,2014,3,NO,MIN,20,9,Sun,1:00,NO,MIN,-10
2014092107,2014,3,NYG,HOU,30,17,Sun,1:00,NYG,HOU,-1
2014092108,2014,3,PHI,WAS,37,34,Sun,1:00,PHI,WAS,-4
2014092109,2014,3,STL,DAL,31,34,Sun,1:00,STL,DAL,-2
2014092110,2014,3,ARI,SF,23,14,Sun,4:05,SF,ARI,-3
2014092111,2014,3,MIA,KC,15,34,Sun,4:25,MIA,KC,-5.5
2014092112,2014,3,SEA,DEN,26,20,Sun,4:25,SEA,DEN,-4.5
2014092113,2014,3,CAR,PIT,19,37,Sun,8:30,CAR,PIT,-3
2014092200,2014,3,NYJ,CHI,19,27,Mon,8:30,NYJ,CHI,-1.5
2014092500,2014,4,WAS,NYG,14,45,Thu,8:25,WAS,NYG,-3
2014092801,2014,4,CHI,GB,17,38,Sun,1:00,GB,CHI,-2
2014092802,2014,4,HOU,BUF,23,17,Sun,1:00,HOU,Buffalo,-3
2014092803,2014,4,IND,TEN,41,17,Sun,1:00,IND,TEN,-7.5
2014092800,2014,4,BAL,CAR,38,10,Sun,1:00,BAL,CAR,-3
2014092805,2014,4,NYJ,DET,17,24,Sun,1:00,NYJ,DET,-1.5
2014092806,2014,4,OAK,MIA,14,38,Sun,1:00,MIA,OAK,-4
2014092807,2014,4,PIT,TB,24,27,Sun,1:00,PIT,TB,-7.5
2014092808,2014,4,SD,JAC,33,14,Sun,4:05,SD,JAC,-12
2014092804,2014,4,MIN,ATL,41,28,Sun,4:25,MIN,ATL,-6
2014092809,2014,4,SF,PHI,26,21,Sun,4:25,SF,PHI,-4
2014092810,2014,4,DAL,NO,38,17,Sun,8:30,DAL,NO,-3
2014092900,2014,4,KC,NE,41,14,Mon,8:30,NE,KC,-3
2014100200,2014,5,GB,MIN,42,10,Thu,8:25,GB,MIN,-9.5
2014100500,2014,5,CAR,CHI,31,24,Sun,1:00,CAR,CHI,-1.5
2014100501,2014,5,DAL,HOU,20,17,Sun,1:00,DAL,HOU,-5.5
2014100502,2014,5,DET,BUF,14,17,Sun,1:00,DET,BUF,-5
2014100503,2014,5,IND,BAL,20,13,Sun,1:00,IND,BAL,-3
2014100504,2014,5,JAC,PIT,9,17,Sun,1:00,PIT,JAC,-6
2014100505,2014,5,NO,TB,37,31,Sun,1:00,NO,TB,-11
2014100506,2014,5,NYG,ATL,30,20,Sun,1:00,NYG,ATL,-4
2014100507,2014,5,PHI,STL,34,28,Sun,1:00,PHI,STL,-4
2014100508,2014,5,TEN,CLE,28,29,Sun,1:00,CLE,TEN,-1
2014100509,2014,5,DEN,ARI,41,20,Sun,4:05,DEN,ARI,-8.5
