eid,season,week,Home,Away,HomeScore,AwayScore,Day,Time,Favorite,Underdog,Spread
2009091000,2009,1,PIT,TEN,13,10,Thu,08:30,PIT,TEN,-6.5
2009091304,2009,1,CLE,MIN,20,34,Sun,01:00,MIN,CLE,-4
2009091307,2009,1,NO,DET,45,27,Sun,01:00,NO,DET,-14
2009091308,2009,1,TB,DAL,21,34,Sun,01:00,DAL,TB,-5.5
2009091305,2009,1,HOU,NYJ,7,24,Sun,01:00,HOU,NYJ,-4.5
2009091306,2009,1,IND,JAC,14,12,Sun,01:00,IND,JAC,-6.5
2009091303,2009,1,CIN,DEN,7,12,Sun,01:00,CIN,DEN,-4.5
2009091300,2009,1,ATL,MIA,19,7,Sun,01:00,ATL,MIA,-4
2009091301,2009,1,BAL,KC,38,24,Sun,01:00,BAL,KC,-13
2009091302,2009,1,CAR,PHI,10,38,Sun,01:00,PHI,CAR,-2.5
2009091309,2009,1,ARI,SF,16,20,Sun,04:15,ARI,SF,-5
2009091310,2009,1,NYG,WAS,23,17,Sun,04:15,NYG,WAS,-6.5
2009091311,2009,1,SEA,STL,28,0,Sun,04:15,SEA,STL,-7.5
2009091312,2009,1,GB,CHI,21,15,Sun,08:20,GB,CHI,-4.5
2009091400,2009,1,NE,BUF,25,24,Mon,07:00,NE,BUF,-13
2009091401,2009,1,OAK,SD,20,24,Mon,10:15,SD,OAK,-10.5
2009092000,2009,2,ATL,CAR,28,20,Sun,01:00,ATL,CAR,-6
2009092001,2009,2,DET,MIN,13,27,Sun,01:00,MIN,DET,-10
2009092002,2009,2,GB,CIN,24,31,Sun,01:00,GB,CIN,-7.5
2009092003,2009,2,JAC,ARI,17,31,Sun,01:00,JAC,ARI,-3
2009092004,2009,2,KC,OAK,10,13,Sun,01:00,KC,OAK,-2.5
2009092005,2009,2,NYJ,NE,16,9,Sun,01:00,NE,NYJ,-3.5
2009092006,2009,2,PHI,NO,22,48,Sun,01:00,NO,PHI,-3
2009092007,2009,2,TEN,HOU,31,34,Sun,01:00,TEN,HOU,-7
2009092008,2009,2,WAS,STL,9,7,Sun,01:00,WAS,STL,-9.5
2009092009,2009,2,BUF,TB,33,20,Sun,04:05,BUF,TB,-4
2009092010,2009,2,SF,SEA,23,10,Sun,04:05,SF,SEA,-1
2009092011,2009,2,CHI,PIT,17,14,Sun,04:15,PIT,CHI,-3
2009092012,2009,2,DEN,CLE,27,6,Sun,04:15,DEN,CLE,-3
2009092013,2009,2,SD,BAL,26,31,Sun,04:15,SD,BAL,-1
2009092014,2009,2,DAL,NYG,31,33,Sun,08:20,DAL,NYG,-3
2009092100,2009,2,MIA,IND,23,27,Mon,08:30,IND,MIA,-3
2009092700,2009,3,BAL,CLE,34,3,Sun,01:00,BAL,CLE,-13.5
2009092702,2009,3,DET,WAS,19,14,Sun,01:00,WAS,DET,-6
2009092703,2009,3,HOU,JAC,24,31,Sun,01:00,HOU,JAC,-4
