Date & Time,Favorite,Spread,Underdog
12/10 8:25 ET,At Arizona,-10,Minnesota
12/13 1:00 ET,At Cincinnati,-1,Pittsburgh
12/13 1:00 ET,At Philadelphia,-1,Buffalo
12/13 1:00 ET,At Carolina,-8.5,Atlanta
12/13 1:00 ET,At Cleveland,-2.5,San Francisco
12/13 1:00 ET,At Chicago,-4,Washington
12/13 1:00 ET,Detroit,-3,At St. Louis
12/13 1:00 ET,At Kansas City,-12,San Diego
12/13 1:00 ET,At Tampa Bay,-6,New Orleans
12/13 1:00 ET,At Jacksonville,-1,Indianapolis
12/13 1:00 ET,At NY Jets,-8,Tennessee
12/13 8:30 ET,New England,-5,At Houston
12/13 4:05 ET,At Denver,-6,Oakland
12/13 4:25 ET,At Green Bay,-6.5,Dallas
12/13 1:00 ET,Seattle,-10.5,At Baltimore
