TimeSecsClass,DownClass,yrdline100Class,FavScoreDiffClass,Pmodel
0,1,1,1,0.175704521248
0,2,1,1,0.144097426779
0,3,1,1,0.092256241992
0,4,1,1,0.396947066812
1,1,1,1,0.169059610766
1,2,1,1,0.142651932201
1,3,1,1,0.0955403919451
1,4,1,1,0.332757166202
2,1,1,1,0.172978282998
2,2,1,1,0.150230640298
2,3,1,1,0.109453698716
2,4,1,1,0.281866561858
3,1,1,1,0.152377718414
3,2,1,1,0.136099054607
3,3,1,1,0.0986345204419
3,4,1,1,0.19966173519
4,1,1,1,0.14436700904
4,2,1,1,0.135652761562
4,3,1,1,0.104539335179
4,4,1,1,0.157788287424
5,1,1,1,0.154231817571
5,2,1,1,0.146898006668
5,3,1,1,0.114589027088
5,4,1,1,0.0922040050296
6,1,1,1,0.14275763761
6,2,1,1,0.138807128996
6,3,1,1,0.113292778489
6,4,1,1,0.0622756679343
7,1,1,1,0.124851467006
7,2,1,1,0.127596691186
7,3,1,1,0.109394677609
7,4,1,1,0.0598339327502
8,1,1,1,0.112506364342
8,2,1,1,0.126505722941
8,3,1,1,0.111951710506
8,4,1,1,0.0585720784276
9,1,1,1,0.106427071963
9,2,1,1,0.122586291899
9,3,1,1,0.112543792019
9,4,1,1,0.0590824710363
10,1,1,1,0.101488721797
10,2,1,1,0.123154133919
10,3,1,1,0.118346062491
10,4,1,1,0.0598339327502
11,1,1,1,0.0934148706665
11,2,1,1,0.121059804633
11,3,1,1,0.117754531014
11,4,1,1,0.0579279935944
12,1,1,1,0.0974073594641
12,2,1,1,0.126777034217
12,3,1,1,0.132541952257
12,4,1,1,0.0662274846843
13,1,1,1,0.0801438684424
13,2,1,1,0.115743971442
13,3,1,1,0.122583192374
13,4,1,1,0.0598339327502
14,1,1,1,0.0732525528037
14,2,1,1,0.114582011286
14,3,1,1,0.128924337972
14,4,1,1,0.0583372299504
15,1,1,1,0.06720563748
15,2,1,1,0.109913441816
15,3,1,1,0.131994821454
15,4,1,1,0.0567289153421
16,1,1,1,0.0608039775337
16,2,1,1,0.108471292633
16,3,1,1,0.13454878466
16,4,1,1,0.0578751229055
17,1,1,1,0.0569973851969
17,2,1,1,0.105542974112
17,3,1,1,0.137001033713
17,4,1,1,0.0598339327502
18,1,1,1,0.0568527653431
18,2,1,1,0.105569324773
18,3,1,1,0.138942552608
18,4,1,1,0.0598339327502
19,1,1,1,0.0598339327502
19,2,1,1,0.10219616836
19,3,1,1,0.14210038498
19,4,1,1,0.0577499949157
20,1,1,1,0.0466250895676
20,2,1,1,0.0964135645136
20,3,1,1,0.14496254689
20,4,1,1,0.0598339327502
21,1,1,1,0.0499765777396
21,2,1,1,0.0978441717325
21,3,1,1,0.147597862135
21,4,1,1,0.0598339327502
22,1,1,1,0.0595741781159
22,2,1,1,0.0980221824876
22,3,1,1,0.15023317738
22,4,1,1,0.0598339327502
23,1,1,1,0.0591354700815
23,2,1,1,0.0948796864058
23,3,1,1,0.152868492625
23,4,1,1,0.0598339327502
24,1,1,1,0.0598339327502
24,2,1,1,0.0938335239157
24,3,1,1,0.155503807869
24,4,1,1,0.0588081120655
25,1,1,1,0.0598339327502
25,2,1,1,0.0917391946298
25,3,1,1,0.158139123115
25,4,1,1,0.0598339327502
26,1,1,1,0.0598339327502
26,2,1,1,0.0886378695667
26,3,1,1,0.160774438359
26,4,1,1,0.0580895621218
27,1,1,1,0.0598339327502
27,2,1,1,0.0850808844539
27,3,1,1,0.163409753604
27,4,1,1,0.0598339327502
28,1,1,1,0.0556529823076
28,2,1,1,0.0827079214271
28,3,1,1,0.162848044522
28,4,1,1,0.0508120187214
29,1,1,1,0.0589255174998
29,2,1,1,0.0760696193598
29,3,1,1,0.168680384094
29,4,1,1,0.0598339327502
30,1,1,1,0.0598339327502
30,2,1,1,0.0812675481999
30,3,1,1,0.171315699339
30,4,1,1,0.0449941187297
31,1,1,1,0.0598339327502
31,2,1,1,0.0791732189139
31,3,1,1,0.173951014584
31,4,1,1,0.0598339327502
32,1,1,1,0.077183420828
32,2,1,1,0.0944283777057
32,3,1,1,0.191735319139
32,4,1,1,0.077183420828
33,1,1,1,0.057474989955
33,2,1,1,0.0734473328794
33,3,1,1,0.178735213704
33,4,1,1,0.0598339327502
34,1,1,1,0.0580617023092
34,2,1,1,0.072890231056
34,3,1,1,0.181856960319
34,4,1,1,0.0594187382285
35,1,1,1,0.0568413518906
35,2,1,1,0.068389739816
35,3,1,1,0.184305143878
35,4,1,1,0.0592568062678
36,1,1,1,0.0573120088506
36,2,1,1,0.0687015724841
36,3,1,1,0.184987317392
36,4,1,1,0.0586801957864
37,1,1,1,0.0598339327502
37,2,1,1,0.0661068864089
37,3,1,1,0.188029184814
37,4,1,1,0.0577904621769
38,1,1,1,0.0502339541055
38,2,1,1,0.0617980216824
38,3,1,1,0.190562588631
38,4,1,1,0.0572679400693
39,1,1,1,0.0598339327502
39,2,1,1,0.0624185846262
39,3,1,1,0.195033536543
39,4,1,1,0.0598339327502
40,1,1,1,0.0598339327502
40,2,1,1,0.0603242553402
40,3,1,1,0.197668851788
40,4,1,1,0.0598339327502
41,1,1,1,0.0598339327502
41,2,1,1,0.0598339327502
41,3,1,1,0.200304167033
41,4,1,1,0.0598339327502
42,1,1,1,0.0598339327502
42,2,1,1,0.0598339327502
42,3,1,1,0.202939482278
42,4,1,1,0.0579290662589
43,1,1,1,0.058927395777
43,2,1,1,0.0598339327502
43,3,1,1,0.205574797523
43,4,1,1,0.0598339327502
44,1,1,1,0.0598339327502
44,2,1,1,0.0598339327502
44,3,1,1,0.208210112768
44,4,1,1,0.0598339327502
45,1,1,1,0.0598339327502
45,2,1,1,0.0598339327502
45,3,1,1,0.209805964746
45,4,1,1,0.0598339327502
46,1,1,1,0.0598339327502
46,2,1,1,0.0598339327502
46,3,1,1,0.213480743258
46,4,1,1,0.0588030665486
47,1,1,1,0.0598339327502
47,2,1,1,0.0598339327502
47,3,1,1,0.216116058502
47,4,1,1,0.0547003998891
48,1,1,1,0.0598339327502
48,2,1,1,0.0598339327502
48,3,1,1,0.217284942348
48,4,1,1,0.0598339327502
49,1,1,1,0.0589132606717
49,2,1,1,0.055716930435
49,3,1,1,0.221386688992
49,4,1,1,0.053673399407
50,1,1,1,0.0571499400424
50,2,1,1,0.0560884767801
50,3,1,1,0.222050049931
50,4,1,1,0.0523091355425
51,1,1,1,0.0598339327502
51,2,1,1,0.0598339327502
51,3,1,1,0.218028754249
51,4,1,1,0.0585527453783
52,1,1,1,0.0598339327502
52,2,1,1,0.0554620566085
52,3,1,1,0.229292634727
52,4,1,1,0.0598203365854
53,1,1,1,0.0528513613626
53,2,1,1,0.0598339327502
53,3,1,1,0.231927949972
53,4,1,1,0.059437087145
54,1,1,1,0.0598339327502
54,2,1,1,0.0571508564899
54,3,1,1,0.232133988616
54,4,1,1,0.0598339327502
55,1,1,1,0.0558104871096
55,2,1,1,0.0598339327502
55,3,1,1,0.233699120773
55,4,1,1,0.0436896296825
56,1,1,1,0.0482792520137
56,2,1,1,0.0462402523324
56,3,1,1,0.239833895706
56,4,1,1,0.0598339327502
57,1,1,1,0.0598339327502
57,2,1,1,0.0598339327502
57,3,1,1,0.242469210951
57,4,1,1,0.053898007142
58,1,1,1,0.0598339327502
58,2,1,1,0.0598339327502
58,3,1,1,0.245104526196
58,4,1,1,0.0471140921612
59,1,1,1,0.0598339327502
59,2,1,1,0.0494460629359
59,3,1,1,0.234041551576
59,4,1,1,0.042520816393
60,1,1,1,0.050668165267
60,2,1,1,0.0529847878177
60,3,1,1,0.235535342666
60,4,1,1,0.0598339327502
0,1,2,1,0.138548881953
0,2,2,1,0.103289580327
0,3,2,1,0.158063456362
0,4,2,1,0.212711188633
1,1,2,1,0.140169103611
1,2,2,1,0.108693770733
1,3,2,1,0.157463627443
1,4,2,1,0.192812750364
2,1,2,1,0.159891048162
2,2,2,1,0.125232911595
2,3,2,1,0.174235429492
2,4,2,1,0.192938920015
3,1,2,1,0.151723303013
3,2,2,1,0.118733657515
3,3,2,1,0.168321058712
3,4,2,1,0.167581562527
4,1,2,1,0.171599055974
4,2,2,1,0.13162274037
4,3,2,1,0.172323266575
4,4,2,1,0.152613838646
5,1,2,1,0.166440469545
5,2,2,1,0.12870183219
5,3,2,1,0.172574721419
5,4,2,1,0.143020828489
6,1,2,1,0.162117257851
6,2,2,1,0.114992681589
6,3,2,1,0.154246388361
6,4,2,1,0.10549173722
7,1,2,1,0.15909430478
7,2,2,1,0.117339432296
7,3,2,1,0.163710301948
7,4,2,1,0.100806073799
8,1,2,1,0.15009700317
8,2,2,1,0.109426147487
8,3,2,1,0.152052737422
8,4,2,1,0.0684900657599
9,1,2,1,0.152800657621
9,2,2,1,0.108327488007
9,3,2,1,0.149735602432
9,4,2,1,0.0589215707276
10,1,2,1,0.156759781551
10,2,2,1,0.110994922241
10,3,2,1,0.151891215681
10,4,2,1,0.0598339327502
11,1,2,1,0.158132060759
11,2,2,1,0.111162424299
11,3,2,1,0.148581797255
11,4,2,1,0.0579279935944
12,1,2,1,0.174960876966
12,2,2,1,0.123343916902
12,3,2,1,0.163695924879
12,4,2,1,0.0703794161244
13,1,2,1,0.183594273088
13,2,2,1,0.113124110112
13,3,2,1,0.147140629073
13,4,2,1,0.0598339327502
14,1,2,1,0.165261942196
14,2,2,1,0.111823390152
14,3,2,1,0.14961806967
14,4,2,1,0.0583372299504
15,1,2,1,0.168067149846
15,2,2,1,0.109394257312
15,3,2,1,0.149272222918
15,4,2,1,0.0568383967272
16,1,2,1,0.170207776007
16,2,2,1,0.10946571785
16,3,2,1,0.148149095178
16,4,2,1,0.0571471069712
17,1,2,1,0.191173220386
17,2,2,1,0.130941435984
17,3,2,1,0.169406336587
17,4,2,1,0.0808798668755
18,1,2,1,0.177443029111
18,2,2,1,0.1176347206
18,3,2,1,0.152587309312
18,4,2,1,0.0654472125389
19,1,2,1,0.176377020297
19,2,2,1,0.11141679627
19,3,2,1,0.147054124832
19,4,2,1,0.0577499949157
20,1,2,1,0.167175349553
20,2,2,1,0.108481260898
20,3,2,1,0.146713472293
20,4,2,1,0.0598339327502
21,1,2,1,0.172073247308
21,2,2,1,0.111535100709
21,3,2,1,0.14614597309
21,4,2,1,0.0598339327502
22,1,2,1,0.182402059883
22,2,2,1,0.114063124251
22,3,2,1,0.145578473886
22,4,2,1,0.0598339327502
23,1,2,1,0.183968485147
23,2,2,1,0.113270640956
23,3,2,1,0.145010974683
23,4,2,1,0.0598339327502
24,1,2,1,0.186672081114
24,2,2,1,0.114574491253
24,3,2,1,0.144443475479
24,4,2,1,0.0598339327502
25,1,2,1,0.188677214412
25,2,2,1,0.114830174754
25,3,2,1,0.143875976276
25,4,2,1,0.0598339327502
26,1,2,1,0.190682347711
26,2,2,1,0.115085858254
26,3,2,1,0.143308477072
26,4,2,1,0.0598339327502
27,1,2,1,0.192687481009
27,2,2,1,0.115341541755
27,3,2,1,0.142740977869
27,4,2,1,0.0588732779345
28,1,2,1,0.194692614308
28,2,2,1,0.115597225256
28,3,2,1,0.140114608947
28,4,2,1,0.0591955387214
29,1,2,1,0.196697747606
29,2,2,1,0.107404625352
29,3,2,1,0.133641173031
29,4,2,1,0.0578432259914
