TimeSecsClass,DownClass,yrdline100Class,FavScoreDiffClass,Pmodel
0,1,1,1,0.3892067806166969
0,2,1,1,0.4103028699263615
0,3,1,1,0.38516525259310197
0,4,1,1,0.4115195113266329
1,1,1,1,0.38581153163767856
1,2,1,1,0.405006400998473
1,3,1,1,0.3855097142414434
1,4,1,1,0.4066845456523343
2,1,1,1,0.31702392324500983
2,2,1,1,0.32252600889653615
2,3,1,1,0.31675069410327006
2,4,1,1,0.3365282890818996
3,1,1,1,0.3306349014449982
3,2,1,1,0.3318970703124928
3,3,1,1,0.3723022232712299
3,4,1,1,0.4060076885204154
4,1,1,1,0.3714159386504178
4,2,1,1,0.35653362125498955
4,3,1,1,0.38309604699885014
4,4,1,1,0.40368035747206216
5,1,1,1,0.36359857040272237
5,2,1,1,0.3394207621610127
5,3,1,1,0.3842743866590243
5,4,1,1,0.42127754042988197
6,1,1,1,0.312670397243466
6,2,1,1,0.26654018374005506
6,3,1,1,0.31992215699516613
6,4,1,1,0.348615703267646
7,1,1,1,0.3111785089242413
7,2,1,1,0.2552797299862219
7,3,1,1,0.3207150227181401
7,4,1,1,0.3365282890818996
8,1,1,1,0.30948743246502164
8,2,1,1,0.25006298332526206
8,3,1,1,0.3290625223072056
8,4,1,1,0.3471047764944277
9,1,1,1,0.3095434033192884
9,2,1,1,0.22444872522585504
9,3,1,1,0.3223007541640881
9,4,1,1,0.3365282890818996
10,1,1,1,0.3045784482810143
10,2,1,1,0.2139437348586311
10,3,1,1,0.32309361988706214
10,4,1,1,0.3365282890818996
11,1,1,1,0.3771766398618071
11,2,1,1,0.2675512939689687
11,3,1,1,0.3940427421804709
11,4,1,1,0.4066845456523343
12,1,1,1,0.3015375190166224
12,2,1,1,0.18386819348487338
12,3,1,1,0.3312267006836228
12,4,1,1,0.3365282890818996
13,1,1,1,0.30303890793086297
13,2,1,1,0.17034134957121283
13,3,1,1,0.32547221705598417
13,4,1,1,0.3365282890818996
14,1,1,1,0.35395663614309986
14,2,1,1,0.21221498424656995
14,3,1,1,0.3788822752067842
14,4,1,1,0.3891454815097256
15,1,1,1,0.368505951484304
15,2,1,1,0.21655734318035208
15,3,1,1,0.3972142050723669
15,4,1,1,0.4066845456523343
16,1,1,1,0.30012579778687687
16,2,1,1,0.1312717446034495
16,3,1,1,0.3278508142249062
16,4,1,1,0.348615703267646
17,1,1,1,0.29908150401654365
17,2,1,1,0.1283437664252356
17,3,1,1,0.32864367994788024
17,4,1,1,0.348615703267646
18,1,1,1,0.30208466257204364
18,2,1,1,0.12480655801041443
18,3,1,1,0.32943654567085423
18,4,1,1,0.3365282890818996
19,1,1,1,0.30545410640589965
19,2,1,1,0.12782841155685104
19,3,1,1,0.3302294113938282
19,4,1,1,0.3357319370178634
20,1,1,1,0.3042083557324707
